*********************************************************
Program parameters

baseParams	(Str)	1.0 10.0 1
clusterParams	(Str)	0.05 2 1.0 2.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.35 6.0 3.0
ligandMs	(Str)	20.0 1.4
ligandPdb	(Str)	BPA_0001.fa.pdb
ligandSeg	(Str)	5.0 15.0 0.1 1 1 1 5
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	2.0 1.0 0.4 0.5 0.9
protLib	(Str)	/gpfs/DS3524-1/WORK/greisen/ExternalProgram/patchdock/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	ank1C4.7.pdb
receptorSeg	(Str)	10.0 20.0 0.5 0 0 1 5
scoreParams	(Str)	0.3 -4.0 0.4 0.0 0.0 200 -4 -2 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
  99 |  2682 | -2.50 |  342.00 |     0 |     0 |     0 |  -11.99 |    0.00 |    0.00 |     0 | 0.00 || -1.41783 0.27022 2.15598 11.52905 27.76246 12.68801
 100 |  2682 | -2.45 |  316.80 |     0 |     0 |     0 |   -8.49 |    0.00 |    0.00 |     0 | 0.00 || 0.89327 1.02358 2.88004 2.36498 -31.11973 -1.02506
 101 |  2680 | -2.35 |  313.40 |     0 |     0 |     0 |  -35.08 |    0.00 |    0.00 |     0 | 0.00 || -0.64384 -0.12556 2.32074 23.76634 -9.07140 -17.01199
 102 |  2678 | -2.32 |  316.70 |     0 |     0 |     0 |  -32.60 |    0.00 |    0.00 |     0 | 0.00 || 1.18022 -0.54394 1.94626 -4.46195 10.43602 -5.48163
 103 |  2676 | -2.03 |  328.00 |     0 |     0 |     0 |  -16.57 |    0.00 |    0.00 |     0 | 0.00 || -1.72318 -0.81963 -0.49108 11.98542 -3.61010 -1.06216
 104 |  2674 | -1.58 |  292.60 |     0 |     0 |     0 |  -26.23 |    0.00 |    0.00 |     0 | 0.00 || -2.21744 -0.64597 -1.56474 -1.94908 7.35683 6.48427
 105 |  2672 | -2.00 |  308.50 |     0 |     0 |     0 |  -39.91 |    0.00 |    0.00 |     0 | 0.00 || 1.61338 0.21763 2.73757 8.29666 -1.88015 7.74114
 106 |  2666 | -2.14 |  301.50 |     0 |     0 |     0 |  -26.22 |    0.00 |    0.00 |     0 | 0.00 || -0.86938 0.71966 -2.77836 -36.82384 -8.95789 -6.82278
 107 |  2658 | -2.10 |  296.30 |     0 |     0 |     0 |  -49.35 |    0.00 |    0.00 |     0 | 0.00 || 0.66605 1.33875 0.09274 29.18601 33.09536 1.21192
 108 |  2658 | -2.39 |  326.20 |     0 |     0 |     0 |  -69.85 |    0.00 |    0.00 |     0 | 0.00 || 1.01861 1.16611 -2.41919 22.72922 -37.38668 2.64650
 109 |  2656 | -2.07 |  297.70 |     0 |     0 |     0 |   36.40 |    0.00 |    0.00 |     0 | 0.00 || -1.60905 -0.98486 -2.63335 7.30530 -2.17160 -3.85815
 110 |  2656 | -2.25 |  321.30 |     0 |     0 |     0 |  -49.01 |    0.00 |    0.00 |     0 | 0.00 || 0.84986 0.99252 -1.73453 32.04802 2.52225 -1.36064
 111 |  2656 | -2.71 |  369.00 |     0 |     0 |     0 |  -29.91 |    0.00 |    0.00 |     0 | 0.00 || 2.54910 -0.36361 -3.06361 -30.34808 9.12268 20.83171
 112 |  2654 | -2.79 |  348.40 |     0 |     0 |     0 |  -77.75 |    0.00 |    0.00 |     0 | 0.00 || -1.09356 -0.03571 -1.06975 -29.79414 7.23316 -9.22831
